campus,city
主校区,奥赛
Campus Orsay,奥赛
Campus d'Orsay,奥赛
Site Orsay,奥赛
Campus Orsay-Bures,"奥赛+比尔-叙尔-伊韦特"
Orsay A site,比尔-叙尔-伊韦特
Orsay B site,奥赛
North site,奥赛
South site,"奥赛+比尔-叙尔-伊韦特"
Plateau de Moulon,奥赛
Campus Plateau,"奥赛+日夫-叙尔-伊韦特+帕莱索"
Campus Sceaux,索镇
Site Sceaux,索镇
Campus Cachan,卡尚
Campus Versailles,凡尔赛
Site Guyancourt,居扬库尔
Campus Guyancourt,居扬库尔
Site Evry,埃夫里-库尔库罗讷
Campus Evry,埃夫里-库尔库罗讷
Jouy-en-Josas,茹伊昂若萨
Palaiseau,帕莱索
Campus Châtenay,沙特奈-马拉布里
Châtenay site,沙特奈-马拉布里
Faculty of Medicine campus,勒克雷姆兰-比塞特尔
Faculty of Pharmacy campus,奥赛
Faculty of Science campus,奥赛
Faculty of Sport Sciences campus,"奥赛+比尔-叙尔-伊韦特+沙特奈-马拉布里"
Jean Monnet Faculty campus,"索镇+丰特奈-欧罗斯+奥赛"
Cachan Technical Institute (IUT) campus,卡尚
Orsay Technical Institute (IUT) campus,奥赛
Sceaux Technical Institute (IUT) campus,索镇
Polytech Engineering School campus,奥赛
AgroParisTech,帕莱索
CentraleSupélec,日夫-叙尔-伊韦特
ENS Paris-Saclay,日夫-叙尔-伊韦特
Institut d'Optique Graduate School,帕莱索
Université d'Évry,埃夫里-库尔库罗讷
Université de Versailles-Saint-Quentin-en-Yvelines,凡尔赛
Saint-Quentin-en-Yvelines,圣康坦昂伊夫林
Vélizy-Villacoublay,韦利济-维拉库布莱
Saint-Germain-en-Laye,圣日耳曼昂莱
Saclay,萨克雷
Gif-sur-Yvette,日夫-叙尔-伊韦特
Fontenay-aux-Roses,丰特奈-欧罗斯
Le Kremlin-Bicêtre,勒克雷姆兰-比塞特尔
