campus,city
主校区,巴黎
索邦大学阿布扎比,阿布扎比
Campus Pierre et Marie Curie,巴黎
Centre universitaire Clignancourt,巴黎
Malesherbes Campus,巴黎
Les Cordeliers Campus,巴黎
Pitié-Salpêtrière Campus,巴黎
Saint-Antoine Campus,巴黎
CELSA,塞纳河畔讷伊
Centre for Catalan Studies,巴黎
Centre d'études slaves,巴黎
INSPE Molitor & Batignolles,巴黎
Institute of Art and Archaeology,巴黎
Institute of Hispanic Studies,巴黎
Institute of Geography and Spatial Planning,巴黎
National Institute of Art History,巴黎
Maison de la recherche,巴黎
Institut de géographie et d’aménagement,巴黎
Institut d'art et d'archéologie,巴黎
Site Pitié-Salpêtrière,巴黎
Distance learning,线上
Université de Bologne,博洛尼亚
PSPBB,布洛涅-比扬古
CNSMDP,巴黎
Centre Assas,巴黎
Panthéon-Assas Université,巴黎
ENSCI,巴黎
Roscoff Marine Station,罗斯科夫
Banyuls-sur-Mer Marine Station,滨海巴纽尔斯
Villefranche-sur-Mer Marine Station,滨海自由城
