city,city_scale,sort_order
上海,超级大城,1
深圳,超级大城,1
广州,超级大城,1
洛杉矶,超级大城,1
阿姆斯特丹,超级大城,1
巴黎,超级大城,1
巴塞罗那,超级大城,1
柏林,超级大城,1
北京,超级大城,1
伦敦,超级大城,1
米兰,超级大城,1
墨尔本,超级大城,1
温哥华,超级大城,1
悉尼,超级大城,1
香港,超级大城,1
新加坡,超级大城,1
班加罗尔,超级大城,1
纽约,超级大城,1
孟买,超级大城,1
阿斯塔纳,全能中城,2
阿布扎比,全能中城,2
奥克兰,全能中城,2
奥斯陆,全能中城,2
布里斯班,全能中城,2
都柏林,全能中城,2
哥本哈根,全能中城,2
鹿特丹,全能中城,2
慕尼黑,全能中城,2
斯德哥尔摩,全能中城,2
苏黎世,全能中城,2
维也纳,全能中城,2
弗雷德里克斯贝,全能中城,2
海牙,全能中城,2
台北,全能中城,2
曼彻斯特,全能中城,2
爱丁堡,全能中城,2
双威城,全能中城,2
苏州,全能中城,2
坦格朗,全能中城,2
布洛涅-比扬古,全能中城,2
塞纳河畔讷伊,全能中城,2
阿德莱德,精致小城,3
伯克利,精致小城,3
代尔夫特,精致小城,3
海德堡,精致小城,3
剑桥,精致小城,3
莱顿,精致小城,3
兰斯,精致小城,3
勒阿弗尔,精致小城,3
鲁汶,精致小城,3
珀斯,精致小城,3
乌得勒支,精致小城,3
奥格斯堡,精致小城,3
灵比,精致小城,3
博洛尼亚,精致小城,3
波恩,悠然田园,4
格罗宁根,悠然田园,4
根特,悠然田园,4
海尔布隆,悠然田园,4
卡尔斯鲁厄,悠然田园,4
堪培拉,悠然田园,4
隆德,悠然田园,4
洛桑,悠然田园,4
芒通,悠然田园,4
图宾根,悠然田园,4
瓦赫宁根,悠然田园,4
乌普萨拉,悠然田园,4
亚琛,悠然田园,4
加兴,悠然田园,4
奥托布伦,悠然田园,4
弗赖辛,悠然田园,4
施特劳宾,悠然田园,4
克厄,悠然田园,4
索菲亚-安提波利斯,悠然田园,4
帕莱索,悠然田园,4
茨木,悠然田园,4
塞尔吉,悠然田园,4
吕讷堡,悠然田园,4
普拉托,悠然田园,4
加顿,悠然田园,4
