city,climate,sort_order
索菲亚-安提波利斯,阳光明媚,1
阿德莱德,阳光明媚,1
巴塞罗那,阳光明媚,1
伯克利,阳光明媚,1
芒通,阳光明媚,1
珀斯,阳光明媚,1
洛杉矶,阳光明媚,1
奥克兰,温和宜人,2
巴黎,温和宜人,2
波恩,温和宜人,2
海德堡,温和宜人,2
海尔布隆,温和宜人,2
剑桥,温和宜人,2
卡尔斯鲁厄,温和宜人,2
帕莱索,温和宜人,2
堪培拉,温和宜人,2
洛桑,温和宜人,2
墨尔本,温和宜人,2
图宾根,温和宜人,2
悉尼,温和宜人,2
班加罗尔,温和宜人,2
普拉托,温和宜人,2
布里斯班,长夏暖冬,3
茨木,长夏暖冬,3
广州,长夏暖冬,3
香港,长夏暖冬,3
深圳,长夏暖冬,3
台北,长夏暖冬,3
奥斯陆,寒冬盛夏,4
柏林,寒冬盛夏,4
北京,寒冬盛夏,4
哥本哈根,寒冬盛夏,4
隆德,寒冬盛夏,4
米兰,寒冬盛夏,4
慕尼黑,寒冬盛夏,4
斯德哥尔摩,寒冬盛夏,4
苏黎世,寒冬盛夏,4
维也纳,寒冬盛夏,4
阿斯塔纳,寒冬盛夏,4
乌普萨拉,寒冬盛夏,4
上海,寒冬盛夏,4
加兴,寒冬盛夏,4
奥托布伦,寒冬盛夏,4
弗赖辛,寒冬盛夏,4
施特劳宾,寒冬盛夏,4
奥格斯堡,寒冬盛夏,4
弗雷德里克斯贝,寒冬盛夏,4
克厄,寒冬盛夏,4
灵比,寒冬盛夏,4
纽约,寒冬盛夏,4
苏州,寒冬盛夏,4
阿布扎比,炎热酷暑,5
新加坡,炎热酷暑,5
双威城,炎热酷暑,5
孟买,炎热酷暑,5
坦格朗,炎热酷暑,5
阿姆斯特丹,四季阴寒,6
代尔夫特,四季阴寒,6
都柏林,四季阴寒,6
格罗宁根,四季阴寒,6
根特,四季阴寒,6
莱顿,四季阴寒,6
兰斯,四季阴寒,6
勒阿弗尔,四季阴寒,6
鲁汶,四季阴寒,6
鹿特丹,四季阴寒,6
伦敦,四季阴寒,6
瓦赫宁根,四季阴寒,6
温哥华,四季阴寒,6
乌得勒支,四季阴寒,6
亚琛,四季阴寒,6
海牙,四季阴寒,6
曼彻斯特,四季阴寒,6
爱丁堡,四季阴寒,6
塞尔吉,四季阴寒,6
吕讷堡,四季阴寒,6
