slug,display_name
hku,香港大学(HKU)
nus,新加坡国立大学(NUS)
eth,苏黎世联邦理工学院(ETH)
ntu,南洋理工大学(NTU)
hkust,香港科技大学(HKUST)
cuhk,香港中文大学(CUHK)
melbourne,墨尔本大学(Melbourne)
tum,慕尼黑工业大学(TUM)
epfl,洛桑联邦理工学院(EPFL)
sydney,悉尼大学(Sydney)
unsw,新南威尔士大学(UNSW)
psl,巴黎文理研究大学(PSL)
ip_paris,巴黎理工学院(IP Paris)
anu,澳大利亚国立大学(ANU)
uva,阿姆斯特丹大学(UvA)
tu_delft,代尔夫特理工大学(TU Delft)
polyu,香港理工大学(PolyU)
cityu,香港城市大学(CityU)
monash,蒙纳士大学(Monash)
uq,昆士兰大学(UQ)
lmu,慕尼黑大学(LMU)
sorbonne,索邦大学(Sorbonne)
paris_saclay,巴黎萨克雷大学(Paris-Saclay)
suad,阿布扎比索邦大学(SUAD)
ku_leuven,鲁汶大学(KU Leuven)
auckland,奥克兰大学(Auckland)
uwa,西澳大学(UWA)
adelaide,阿德莱德大学(Adelaide)
copenhagen,哥本哈根大学(Copenhagen)
heidelberg,海德堡大学(Heidelberg)
uzh,苏黎世大学(UZH)
kth,皇家理工学院(KTH)
utrecht,乌得勒支大学(Utrecht)
leiden,莱顿大学(Leiden)
tcd,都柏林圣三一大学(TCD)
uts,悉尼科技大学(UTS)
fu_berlin,柏林自由大学(FU Berlin)
humboldt,柏林洪堡大学(Humboldt)
lund,隆德大学(Lund)
uppsala,乌普萨拉大学(Uppsala)
polimi,米兰理工大学(Polimi)
barcelona,巴塞罗那大学(Barcelona)
oslo,奥斯陆大学(Oslo)
erasmus,鹿特丹伊拉斯姆斯大学(Erasmus)
vu_amsterdam,阿姆斯特丹自由大学(VU Amsterdam)
groningen,格罗宁根大学(Groningen)
wur,瓦赫宁根大学(WUR)
kit,卡尔斯鲁厄理工学院(KIT)
vienna,维也纳大学(Vienna)
bonn,波恩大学(Bonn)
tubingen,图宾根大学(Tübingen)
paris_cite,巴黎西岱大学(Paris Cité)
ghent,根特大学(Ghent)
rwth_aachen,亚琛工业大学(RWTH Aachen)
