slug,qs,the,usnews
hku,11,33,44
nus,8,17,20
eth,7,11,35
ntu,12,31,28
hkust,44,58,101
cuhk,32,41,37
melbourne,19,37,30
tum,22,27,79
epfl,22,35,86
sydney,25,53,29
unsw,20,79,34
psl,28,48,105
ip_paris,41,68,323
anu,32,73,86
uva,53,62,33
tu_delft,47,57,191
polyu,54,83,58
cityu,63,75,54
monash,36,58,38
uq,42,80,43
lmu,58,34,57
sorbonne,72,76,62
paris_saclay,70,68,78
suad,72,76,62
ku_leuven,60,46,50
auckland,65,156,128
uwa,77,153,98
adelaide,82,133,99
copenhagen,101,90,41
heidelberg,80,49,59
uzh,100,80,59
kth,78,98,252
utrecht,103,66,49
leiden,119,70,56
tcd,75,173,207
uts,96,145,83
fu berlin,88,113,59
humboldt,130,89,47
lund,72,95,121
uppsala,93,128,141
polimi,98,225,338
barcelona,160,145,82
oslo,119,113,100
erasmus,140,107,76
vu_amsterdam,194,176,79
groningen,147,82,75
wur,153,66,115
kit,98,166,278
vienna,152,95,212
bonn,207,92,164
tubingen,215,98,200
paris_cite,300,190,47
ghent,162,115,107
rwth_aachen,105,92,225
