program,faculty,campus,duration,eng_taught,type,url
Bachelor of Accounting,College of Business and Law,Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-accounting
Bachelor of Business,College of Business and Law,主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-business
"Bachelor of Business (Economics, Finance and Trade)",College of Business and Law,Online,3,TRUE,交叉学科（单学位）,https://adelaide.edu.au/study/degrees/bachelor-of-business-economics-finance-and-trade
Bachelor of Business (Financial Planning),College of Business and Law,Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-business-financial-planning
Bachelor of Business (Human Resource Management),College of Business and Law,Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-business-human-resource-management
Bachelor of Business (Management),College of Business and Law,Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-business-management
Bachelor of Business (Marketing),College of Business and Law,Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-business-marketing
"Bachelor of Business (Tourism, Events and Hospitality Management)",College of Business and Law,Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-business-tourism-events-and-hospitality-management
Bachelor of Commerce,College of Business and Law,主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-commerce
Bachelor of Digital Business,College of Business and Law,Online,3,TRUE,交叉学科（单学位）,https://adelaide.edu.au/study/degrees/bachelor-of-digital-business
Bachelor of Economics,College of Business and Law,主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-economics
"Bachelor of Politics, Philosophy and Economics",College of Business and Law,主校区,3,TRUE,交叉学科（单学位）,https://adelaide.edu.au/study/degrees/bachelor-of-politics-philosophy-and-economics
Bachelor of Architectural Design,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-architectural-design
Bachelor of Construction Management,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-construction-management
Bachelor of Construction Management,"College of Creative Arts, Design and Humanities",Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-construction-management
Bachelor of Construction Management (Honours),"College of Creative Arts, Design and Humanities",主校区,4,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-construction-management-honours
Bachelor of Industrial Design,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-industrial-design
Bachelor of Interior Architecture (Honours),"College of Creative Arts, Design and Humanities",主校区,4,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-interior-architecture-honours
Bachelor of Arts,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-arts
Bachelor of Communication,"College of Creative Arts, Design and Humanities",Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-communication
Bachelor of Creative Arts,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,交叉学科（单学位）,https://adelaide.edu.au/study/degrees/bachelor-of-creative-arts
Bachelor of Digital Media,"College of Creative Arts, Design and Humanities",Online,3,TRUE,交叉学科（单学位）,https://adelaide.edu.au/study/degrees/bachelor-of-digital-media
Bachelor of Journalism,"College of Creative Arts, Design and Humanities",Online,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-journalism
Bachelor of Music,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-music
Bachelor of Music Theatre,"College of Creative Arts, Design and Humanities",主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-music-theatre
Bachelor of Aviation,College of Engineering and Information Technology,主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-aviation
Bachelor of Computer Science,College of Engineering and Information Technology,主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-computer-science
Bachelor of Cyber Security,College of Engineering and Information Technology,主校区,3,TRUE,单学位,https://adelaide.edu.au/study/degrees/bachelor-of-cyber-security
