program,faculty,campus,duration,eng_taught,type,url,
Bachelor of Accounting,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bacct,
Bachelor of Actuarial Studies,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bacts,
Bachelor of Applied Data Analytics,ANU College of Systems and Society,主校区,3,TRUE,交叉学科（单学位）,https://programsandcourses.anu.edu.au/program/badan,
Bachelor of Arts,ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/barts,
Bachelor of Asian Studies,ANU College of Asia and the Pacific,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/basia,
Bachelor of Biotechnology,ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bbiot,
Bachelor of Business Administration,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bbusa,
Bachelor of Commerce,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bcomm,
Bachelor of Computing,ANU College of Systems and Society,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bcomp,
Bachelor of Design,ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bdesn,
Bachelor of Economics,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/becon,
Bachelor of Environment and Sustainability,ANU College of Systems and Society,主校区,3,TRUE,交叉学科（单学位）,https://programsandcourses.anu.edu.au/program/bensu,
Bachelor of Finance,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bfinn,
Bachelor of Genetics,ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bgene,
Bachelor of Health Science,ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bhlth,
Bachelor of International Business,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/binbs,
Bachelor of International Relations,ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bir,
Bachelor of International Security Studies,ANU College of Asia and the Pacific,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/binss,
"Bachelor of Languages",ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/blang,
Bachelor of Mathematical Sciences,ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bmasc,
Bachelor of Medical Science,ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bmeds,
"Bachelor of Music",ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bmusi,
Bachelor of Pacific Studies,ANU College of Asia and the Pacific,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bpast,
"Bachelor of Philosophy, Neuroscience, and Psychology",ANU College of Arts and Social Sciences and ANU College of Science and Medicine,主校区,3,TRUE,交叉学科（单学位）,https://programsandcourses.anu.edu.au/program/bpnp,
Bachelor of Political Science,ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bplsc,
"Bachelor of Politics, Philosophy and Economics",ANU College of Arts and Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://programsandcourses.anu.edu.au/program/bppe,
Bachelor of Public Policy,ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bppol,
Bachelor of Science,ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bsc,
Bachelor of Science (Psychology),ANU College of Science and Medicine,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bspsy,
Bachelor of Statistics,ANU College of Business and Economics,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bstat,
Bachelor of Visual Arts,ANU College of Arts and Social Sciences,主校区,3,TRUE,单学位,https://programsandcourses.anu.edu.au/program/bvart,
Bachelor of Advanced Computing (Honours),ANU College of Systems and Society,主校区,4,TRUE,交叉学科（单学位）,https://programsandcourses.anu.edu.au/program/aacom,
"Bachelor of Advanced Computing (Research and Development) (Honours)",ANU College of Systems and Society,主校区,4,TRUE,交叉学科（单学位）,https://programsandcourses.anu.edu.au/program/aacrd,
Bachelor of Arts (with Year in Asia),ANU College of Arts and Social Sciences,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/barty,
Bachelor of Asian Studies (with Year in Asia),ANU College of Asia and the Pacific,主校区,4,TRUE,单学位,https://programsandcourses.anu.edu.au/program/basy,
Bachelor of Asia-Pacific Affairs,ANU College of Asia and the Pacific,主校区+Ritsumeikan University,4,TRUE,联合培养,https://programsandcourses.anu.edu.au/program/bapaf,
