program,faculty,campus,duration,eng_taught,type,url
Bachelor of Architectural Studies,Engineering and Design,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-architectural-studies-bas.html
Bachelor of Arts,Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-arts-ba.html
Bachelor of Commerce,Business School,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-commerce-bcom.html
Bachelor of Communication,Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-communication.html
Bachelor of Dance Studies,Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-dance-studies-bdancest.html
Bachelor of Design,Engineering and Design,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-design.html
Bachelor of Early Childhood Studies,Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-early-childhood-studies.html
Bachelor of Education (Teaching English to Speakers of Other Languages),Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-education-tesol.html
Bachelor of Education (Teaching),Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-education-teaching-bedtchg.html
Bachelor of Engineering (Honours),Engineering and Design,主校区,4,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-engineering-honours-behons.html
Bachelor of Fine Arts,Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-fine-arts-bfa.html
Bachelor of Global Studies,The University of Auckland,主校区,3,TRUE,交叉学科（单学位）,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-global-studies-bglobalst.html
Bachelor of Health Sciences,Medical and Health Sciences,Grafton,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-health-sciences-bhsc.html
Bachelor of Laws,Auckland Law School,主校区,4,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-laws-llb.html
Bachelor of Music,Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-music-bmus.html
Bachelor of Nursing,Medical and Health Sciences,Grafton,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-nursing-bnurs.html
Bachelor of Property,Business School,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-property-bprop.html
Bachelor of Science,Science,主校区+Grafton,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-science-bsc.html
"Bachelor of Sport, Health and Physical Education",Arts and Education,主校区,3,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-sport-health-and-physical-education-bsporthpe.html
Bachelor of Urban Planning (Honours),Engineering and Design,主校区,4,TRUE,单学位,https://www.auckland.ac.nz/en/study/study-options/find-a-study-option/bachelor-of-urban-planning-honours-burbplanhons.html
