program,faculty,campus,duration,eng_taught,type,url
Anthropology,Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/anthn/
Chinese Language and Literature,Faculty of Arts,主校区,4,FALSE,单学位,https://admission.cuhk.edu.hk/programme/chlln/
Chinese Studies,Faculty of Arts,主校区,4,FALSE,单学位,https://admission.cuhk.edu.hk/programme/chesb/
English,Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/engen/
Fine Arts,Faculty of Arts,主校区,4,FALSE,单学位,https://admission.cuhk.edu.hk/programme/faasn/
History,Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/histn/
Japanese Studies,Faculty of Arts,主校区,4,FALSE,单学位,https://admission.cuhk.edu.hk/programme/jaspn/
Linguistics,Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/lingn/
"Music",Faculty of Arts,主校区,4,FALSE,单学位,https://admission.cuhk.edu.hk/programme/muscn/
Philosophy,Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/philn/
Public Humanities,Faculty of Arts,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/puhsn/
Religious Studies,Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/relsn/
"Theology",Faculty of Arts,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/theon/
Translation,Faculty of Arts,主校区,4,FALSE,单学位,https://admission.cuhk.edu.hk/programme/trann/
"Biotechnology, Entrepreneurship and Healthcare Management",Faculty of Business Administration+Faculty of Medicine+Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/behmn/
Global Business Studies,Faculty of Business Administration,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/ibbac-gbs/
Global Economics and Finance,Faculty of Business Administration+Faculty of Social Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/glefn/
Hospitality and Real Estate,Faculty of Business Administration,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/htmgb/
"Insurance, Financial and Actuarial Analysis",Faculty of Business Administration,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/ifaab/
Integrated Bachelor of Business Administration Programme,Faculty of Business Administration,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/ibbac/
Professional Accountancy,Faculty of Business Administration,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/paccn/
Quantitative Finance,Faculty of Business Administration,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/qfinn/
Quantitative Finance and Risk Management Science,Faculty of Business Administration+Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/qfrmn/
Learning Design and Technology,Faculty of Education+Faculty of Engineering+Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/ldten/
Artificial Intelligence: Systems and Technologies,Faculty of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/aistn/
Biomedical Engineering,Faculty of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/bmegn/
Computational Data Science,Faculty of Engineering+Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/cdasn/
Computer Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/cengn/
Computer Science,Faculty of Engineering,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/cscin/
Computer Science and Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/bcsen/
Electronic Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/elegn/
Energy and Environmental Engineering,Faculty of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/eeenn/
Financial Technology,Faculty of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/ftecn/
Information Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/iergn/
Materials Science and Engineering,Faculty of Engineering+Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/masen/
Mathematics and Information Engineering,Faculty of Engineering+Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/miegn/
Mechanical and Automation Engineering,Faculty of Engineering,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/maegn/
Systems Engineering and Engineering Management,Faculty of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/seemn/
Diplomacy and International Studies,Faculty of Law+Faculty of Social Science,主校区,4,FALSE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/dipln/
Laws,Faculty of Law,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/lawsn/
Biomedical Sciences,Faculty of Medicine,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/bmscn/
Pharmacy,Faculty of Medicine,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/pharn/
Public Health,Faculty of Medicine,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/phpcn/
Earth and Environmental Sciences,Faculty of Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/eescn/
Enrichment Mathematics,Faculty of Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/mathn/
Enrichment Stream in Theoretical Physics,Faculty of Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/physn%E2%80%90erp/
Risk Management Science,Faculty of Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/rmscn/
Science,Faculty of Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/bscin/
Architectural Studies,Faculty of Social Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/archn/
Data Science and Policy Studies,Faculty of Social Science,主校区,4,TRUE,交叉学科（单学位）,https://admission.cuhk.edu.hk/programme/dspsn/
Economics,Faculty of Social Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/econn/
Geography and Resource Management,Faculty of Social Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/grmdn/
Global Communication,Faculty of Social Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/gcomn/
Global Studies,Faculty of Social Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/glsdn/
Government and Public Administration,Faculty of Social Science,主校区,4,TRUE,单学位,https://admission.cuhk.edu.hk/programme/gpadn/
