program,faculty,campus,duration,eng_taught,type,url
Bachelor of Arts in Architectural Studies,Faculty of Architecture,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-architectural-studies
Bachelor of Science in Surveying,Faculty of Architecture,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-science-surveying
Bachelor of Arts in Landscape Studies,Faculty of Architecture,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-landscape-studies
Bachelor of Arts in Urban Studies,Faculty of Architecture,主校区,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts-urban-studies
Bachelor of Arts (Major in Art History),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Chinese History and Culture),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Chinese Language and Literature),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Comparative Literature),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in English Studies),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Gender Studies),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in General Linguistics),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in Global and Area Studies),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
Bachelor of Arts (Major in History),Faculty of Arts,Centennial Campus,4,TRUE,单学位,https://www.admissions.hku.hk/programmes/undergraduate-programmes/bachelor-of-arts
