program,faculty,campus,duration,eng_taught,type,url
BEng in Aerospace Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/aerospace-engineering
BEng in Artificial Intelligence,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/artificial-intelligence
BSc in Biochemistry and Cell Biology,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/biochemistry-and-cell-biology
BEng in Bioengineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/bioengineering
BSc in Biomedical and Health Sciences,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/biomedical-and-health-sciences
BSc in Biotechnology,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/biotechnology
BSc in Biotechnology and Business,School of Science+School of Business and Management,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/joint-school-program/biotechnology-and-business
Business with an Extended Major in Artificial Intelligence / Digital Media and Creative Arts / Sustainability,School of Business and Management,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/business-with-an-extended-major-in-ai-dmca
BEng in Chemical Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/chemical-engineering
BSc in Chemistry,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/chemistry
BEng in Civil and Environmental Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/civil-and-environmental-engineering
BEng in Civil Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/civil-engineering
BEng in Computer Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-engineering
BEng/BSc in Computer Science,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/computer-science
BSc in Data Analytics and Artificial Intelligence in Science,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/data-analytics-and-artificial-intelligence-in-science
BSc in Data Science and Technology,School of Science+School of Engineering,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/joint-school-program/data-science-and-technology
BEng in Decision Analytics,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/decision-analytics
BEng/BSc and BBA Dual Degree Program in Technology & Management,Academy of Interdisciplinary Studies,主校区,5,TRUE,双学位,https://join.hkust.edu.hk/our-programs/academy-of-interdisciplinary-studies/dual-degree-program-in-technology-and-management
BBA in Economics,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics
BSc in Economics and Finance,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/economics-and-finance
BEng in Electronic Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/electronic-engineering
BEng in Energy and Environmental Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/energy-and-environmental-engineering
BSc in Environmental Management and Technology,Academy of Interdisciplinary Studies,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/academy-of-interdisciplinary-studies/environmental-management-and-technology
BBA in Finance,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/finance
BBA in General Business Management,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/general-business-management
BBA in Global Business,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/global-business
BSc in Global China Studies,School of Humanities and Social Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-humanities-and-social-science/global-china-studies
"BSc in Innovation, Design and Technology",Academy of Interdisciplinary Studies,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/academy-of-interdisciplinary-studies/innovation-design-and-technology
BSc in Individualized Interdisciplinary Major,Academy of Interdisciplinary Studies,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/academy-of-interdisciplinary-studies/individualized-interdisciplinary-major
BEng in Industrial Engineering and Engineering Management,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/industrial-engineering-and-engineering-management
BBA in Information Systems,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/information-systems
BBA in Management,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/management
BSc in Mathematics,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/mathematics
BSc in Mathematics and Economics,School of Science+School of Business and Management,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/joint-school-program/mathematics-and-economics
BBA in Marketing,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/marketing
BEng in Mechanical Engineering,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/mechanical-engineering
BEng in Microelectronics and Integrated Circuits,School of Engineering,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-engineering/microelectronics-and-integrated-circuits
BSc in Ocean Science and Technology,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/ocean-science-and-technology
BBA in Operations Management,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/operations-management
BSc in Physics,School of Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-science/physics
BBA in Professional Accounting,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/professional-accounting
BSc in Quantitative Finance,School of Business and Management,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-business-and-management/quantitative-finance
BSc in Quantitative Social Analysis,School of Humanities and Social Science,主校区,4,TRUE,单学位,https://join.hkust.edu.hk/our-programs/school-of-humanities-and-social-science/quantitative-social-analysis
BSc in Risk Management and Business Intelligence,School of Science+School of Engineering+School of Business and Management,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/joint-school-program/risk-management-and-business-intelligence
BSc in Sustainable and Green Finance,School of Business and Management+Division of Environment and Sustainability,主校区,4,TRUE,交叉学科（单学位）,https://join.hkust.edu.hk/our-programs/joint-school-program/sustainable-and-green-finance
World Bachelor in Business (Self-financed Program),School of Business and Management+University of Southern California+Bocconi University,University of Southern California+主校区+Bocconi University,1+1+1+1,TRUE,联合培养,https://wbb.hkust.edu.hk/
Bachelor of Business Administration in Eurasian Business (Self-financed Program),School of Business and Management+Nazarbayev University Graduate School of Business,主校区+Nazarbayev University,2+2,FALSE,联合培养,https://eabu.hkust.edu.hk/
