program,faculty,campus,duration,eng_taught,type,url
Egyptology and Coptic Studies,"Faculty for the Study of Culture",主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/aegyptologie-und-koptologie-bachelor-hauptfach-2830.html
General and Comparative Literature,"Faculty of Languages and Literatures",主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/allgemeine-und-vergleichende-literaturwissenschaft-bachelor-hauptfach-2836.html
Ancient Near East,"Faculty for the Study of Culture",主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/alter-orient-bachelor-hauptfach-2838.html
English Philology,"Faculty of Languages and Literatures",主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/anglistik-bachelor-hauptfach-2839.html
Archaeology: Europe and the Near East 120 ECTS,"Faculty of History and the Arts + Faculty for the Study of Culture",主校区,3,FALSE,交叉学科（单学位）,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/archaeologie-europa-und-vorderer-orient-120-ects-bachelor-hauptfach-4608.html
Archaeology: Europe and the Near East 180 ECTS,"Faculty of History and the Arts + Faculty for the Study of Culture",主校区,3,FALSE,交叉学科（单学位）,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/archaeologie-europa-und-vorderer-orient-180-ects-bachelor-hauptfach-2842.html
Bioinformatics,"Faculty of Biology + Faculty of Mathematics, Informatics and Statistics",主校区,3,FALSE,交叉学科（单学位）,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/bioinformatik-bachelor-hauptfach-2855.html
Biology,Faculty of Biology,主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/biologie-bachelor-hauptfach-2857.html
Book Science,"Faculty of Languages and Literatures",主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/buchwissenschaft-bachelor-hauptfach-2862.html
Buddhist and South Asian Studies,"Faculty for the Study of Culture",主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/buddhistische-und-suedasiatische-studien-bachelor-hauptfach-2865.html
Business Administration,Faculty of Business Administration - Munich School of Management,主校区,3,FALSE,单学位,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/betriebswirtschaftslehre-bachelor-hauptfach-2848.html
Chemistry and Biochemistry,Faculty of Chemistry and Pharmacy,主校区,3,FALSE,交叉学科（单学位）,https://www.lmu.de/de/studium/studienangebot/alle-studienfaecher-und-studiengaenge/chemie-und-biochemie-bachelor-hauptfach-2870.html
