program,faculty,campus,duration,eng_taught,type,url
Accounting,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/accounting/
Actuarial Studies,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/actuarial-studies/
Business Analytics,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/business-analytics/
Economics,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/economics/
Finance,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/finance/
Management,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/management/
Marketing,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/marketing/
Ancient World Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/ancient-world-studies/
Anthropology,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/anthropology/
Arabic Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/arabic-studies/
Art History,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/art-history/
Asian Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/asian-studies/
Chinese Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/chinese-studies/
Classics (Ancient Greek and Latin),Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/classics-ancient-greek-and-latin/
Creative Writing,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/creative-writing/
Criminology,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/criminology/
Economics,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/economics/
English and Theatre Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/english-and-theatre-studies/
French Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/french-studies/
Gender Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/gender-studies/
Geography,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/geography/
German Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/german-studies/
Hebrew and Jewish Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/hebrew-and-jewish-studies/
History,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/history/
History and Philosophy of Science,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/history-and-philosophy-of-science/
Indigenous Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/indigenous-studies/
Indonesian Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/indonesian-studies/
Islamic Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/islamic-studies/
Italian Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/italian-studies/
Japanese Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/japanese-studies/
Korean Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/korean-studies/
Linguistics and Applied Linguistics,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/linguistics-and-applied-linguistics/
Media and Communications,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/media-and-communications/
Philosophy,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/philosophy/
Politics and International Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/politics-and-international-studies/
Psychology,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/psychology/
Russian Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/russian-studies/
Screen and Cultural Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/screen-and-cultural-studies/
Sociology,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/sociology/
Spanish and Latin American Studies,Faculty of Arts,主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/spanish-and-latin-american-studies/
Biochemistry and Molecular Biology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/biochemistry-and-molecular-biology/
Biomedical Engineering Systems,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/biomedical-engineering-systems/
Biotechnology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/biotechnology/
Cell and Developmental Biology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/cell-and-developmental-biology/
Genetics,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/genetics/
Human Nutrition,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/human-nutrition/
Human Structure and Function,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/human-structure-and-function/
Immunology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/immunology/
Infection and Immunity,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/infection-and-immunity/
Microbiology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/microbiology/
Neuroscience,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/neuroscience/
Pathology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/pathology/
Pharmacology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/pharmacology/
Physiology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/physiology/
Psychology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/psychology/
Public Health and Epidemiology,"Faculty of Medicine, Dentistry and Health Sciences",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/public-health-and-epidemiology/
Architecture,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/architecture/
Civil Engineering Systems,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/civil-engineering-systems/
Computing and Software Systems,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/computing-and-software-systems/
Construction,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/construction/
Digital Infrastructure Engineering Systems,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/digital-infrastructure-engineering-systems/
Game Design,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/game-design/
Graphic Design,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/graphic-design/
Interior Design,"Faculty of Architecture, Building and Planning",主校区,3,TRUE,单学位,https://study.unimelb.edu.au/find/courses/major/interior-design/
