program,faculty,campus,duration,eng_taught,type,url
Accounting,Faculty of Business and Economics,Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/accounting-b2029
Actuarial Science,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/actuarial-science-b2033
Actuarial Science and Actuarial Studies,Faculty of Business and Economics,主校区,4,TRUE,本硕连读,https://www.monash.edu/study/courses/find-a-course/actuarial-science-and-actuarial-studies-b6060
Applied Data Science,Faculty of Information Technology,主校区+Malaysia,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/applied-data-science-s2010
Applied Data Science Advanced,Faculty of Information Technology,主校区,4,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/applied-data-science-advanced-s3003
Architectural Design,"Faculty of Art, Design and Architecture",Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/architectural-design-f2001
Architectural Design and Architecture,"Faculty of Art, Design and Architecture",Caulfield,5,TRUE,本硕连读,https://www.monash.edu/study/courses/find-a-course/architectural-design-and-architecture-f6003
Architectural Studies and Business,"Faculty of Art, Design and Architecture + Faculty of Business and Economics",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/architectural-studies-and-business-f2016
Architectural Studies and Design,"Faculty of Art, Design and Architecture",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/architectural-studies-and-design-f2019
Architectural Studies and Fine Art,"Faculty of Art, Design and Architecture",Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/architectural-studies-and-fine-art-f2018
Architectural Studies and Information Technology,"Faculty of Art, Design and Architecture + Faculty of Information Technology",Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/architectural-studies-and-information-technology-f2017
Art and Design (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/art-and-design-2613
Art and Design (International students),Monash College,Docklands,1.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/art-and-design-u0602
Arts (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/arts-2618
Arts,Faculty of Arts,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/arts-a2000
Arts,Faculty of Arts,主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/arts-a3701
Arts - Education (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/arts-education-2645
Arts (International students),Monash College,Docklands,1.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/arts-u0601
Arts and Criminology,Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/arts-and-criminology-a2012
Arts and Fine Art,"Faculty of Arts + Faculty of Art, Design and Architecture",主校区+Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/arts-and-fine-art-a2005
Arts and Global Studies,Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/arts-and-global-studies-a2018
Arts and Health Sciences,"Faculty of Arts + Faculty of Medicine, Nursing and Health Sciences",主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/arts-and-health-sciences-a2017
Arts and Media Communication,Faculty of Arts,主校区+Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/arts-and-media-communication-a2019
Arts and Music,Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/arts-and-music-a2004
Banking and Finance,Faculty of Business and Economics,Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/banking-and-finance-b2042
Biomedical Science,"Faculty of Medicine, Nursing and Health Sciences",主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/biomedical-science-m2003
Biomedical Science,"Faculty of Medicine, Nursing and Health Sciences",主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/biomedical-science-m3702
Business,Faculty of Business and Economics,Caulfield,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/business-b2000
Business - Business (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/business-business-2607
Business - Commerce (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/business-commerce-2608
Business - Education (Domestic students),Monash College,Docklands,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/business-education-2647
Business (International students),Monash College,Docklands,1.5,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/business-u0603
Business Administration,Faculty of Business and Economics,Peninsula,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/business-administration-b2007
Business and Accounting,Faculty of Business and Economics,Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-accounting-b2040
Business and Arts,Faculty of Business and Economics + Faculty of Arts,Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-arts-b2019
Business and Banking and Finance,Faculty of Business and Economics,Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-banking-and-finance-b2035
Business and Information Technology,Faculty of Business and Economics + Faculty of Information Technology,Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-information-technology-b2017
Business and International Relations,Faculty of Business and Economics + Faculty of Arts,Caulfield+主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-international-relations-b2056
Business and Marketing,Faculty of Business and Economics,Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-marketing-b2037
Business and Media Communication,Faculty of Business and Economics + Faculty of Arts,Caulfield,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/business-and-media-communication-b2028
Commerce,Faculty of Business and Economics,主校区,3,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/commerce-b2001
Commerce,Faculty of Business and Economics,主校区,1,TRUE,单学位,https://www.monash.edu/study/courses/find-a-course/commerce-b3701
Commerce and Actuarial Science,Faculty of Business and Economics,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-actuarial-science-b2030
Commerce and Arts,Faculty of Business and Economics + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-arts-b2020
Commerce and Biomedical Science,"Faculty of Business and Economics + Faculty of Medicine, Nursing and Health Sciences",主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-biomedical-science-b2021
Commerce and Computer Science,Faculty of Business and Economics + Faculty of Information Technology,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-computer-science-b2008
Commerce and Economics,Faculty of Business and Economics,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-economics-b2032
Commerce and Finance,Faculty of Business and Economics,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-finance-b2043
Commerce and Global Studies,Faculty of Business and Economics + Faculty of Arts,主校区,4,TRUE,双学位,https://www.monash.edu/study/courses/find-a-course/commerce-and-global-studies-b2006
