program,faculty,campus,duration,eng_taught,type,url
Accountancy,Nanyang Business School (NBS),主校区,3,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-accountancy
Accountancy (Sustainability Management and Analytics),Nanyang Business School (NBS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/accountancy-for-future-leaders-bachelor-of-accountancy-in-sustainability-management-and-analytics
Aerospace Engineering,School of Mechanical and Aerospace Engineering (MAE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-aerospace-engineering
Applied Computing in Finance,College of Computing and Data Science (CCD S)+Nanyang Business School (NBS),主校区,4,TRUE,交叉学科（单学位）,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-applied-computing-in-finance
"Art, Design and Media","School of Art, Design and Media (ADM)",主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-finearts-design-media
Artificial Intelligence and Society,College of Computing and Data Science (CCDS),主校区,4,TRUE,交叉学科（单学位）,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-computing-hons-in-artificial-intelligence-and-society
Bioengineering,"School of Chemistry, Chemical Engineering and Biotechnology (CCEB)",主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-bioengineering
Biological Sciences,School of Biological Sciences (SBS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-biological-sciences
Business,Nanyang Business School (NBS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-business
Chemical and Biomolecular Engineering,"School of Chemistry, Chemical Engineering and Biotechnology (CCEB)",主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-chemical-and-biomolecular-engineering
Chemistry and Biological Chemistry,"School of Chemistry, Chemical Engineering and Biotechnology (CCEB)",主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-chemistry-and-biological-chemistry
Chinese,School of Humanities (SOH),主校区,4,FALSE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-in-chinese
Chinese Medicine,School of Biological Sciences (SBS),主校区,4,FALSE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-chinese-medicine
Civil Engineering,School of Civil and Environmental Engineering (CEE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-civil-engineering
Communication Studies,Wee Kim Wee School of Communication and Information (WKWSCI),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-communication-studies
Computer Engineering,College of Computing and Data Science (CCDS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-computer-engineering
Computer Science,College of Computing and Data Science (CCDS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-computing-in-computer-science
Computing,College of Computing and Data Science (CCDS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-technology-in-computing-skillsfuture-work-study-degree
Data Science and Artificial Intelligence,College of Computing and Data Science (CCDS)+School of Physical and Mathematical Sciences (SPMS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-data-science-artificial-intelligence
Economics,School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-in-economics-%28honours%29
Economics and Data Science,School of Social Sciences (SSS)+College of Computing and Data Science (CCDS)+School of Physical and Mathematical Sciences (SPMS),主校区,4,TRUE,交叉学科（单学位）,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-economics-and-data-science
Electrical and Electronic Engineering,School of Electrical and Electronic Engineering (EEE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-electrical-and-electronic-engineering
English,School of Humanities (SOH),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-in-english
Environmental Earth Systems Science,The Asian School of the Environment (ASE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-environmental-earth-systems-science
Environmental Engineering,School of Civil and Environmental Engineering (CEE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-environmental-engineering
History,School of Humanities (SOH),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-in-history
Information Engineering and Media,"School of Electrical and Electronic Engineering (EEE)+School of Art, Design and Media (ADM)+Wee Kim Wee School of Communication and Information (WKWSCI)",主校区,4,TRUE,交叉学科（单学位）,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-information-engineering-and-media-iem
Linguistics and Multilingual Studies,School of Humanities (SOH),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-in-linguistics-and-multilingual-studies
Maritime Studies,School of Civil and Environmental Engineering (CEE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-maritime-studies
Materials Engineering,School of Materials Science and Engineering (MSE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-materials-engineering
Mathematical Sciences,School of Physical and Mathematical Sciences (SPMS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-mathematical-sciences
Mechanical Engineering,School of Mechanical and Aerospace Engineering (MAE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-mechanical-engineering
Medicine,Lee Kong Chian School of Medicine (LKCMedicine),Novena Campus,5,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-medicine-and-bachelor-of-surgery-%28mbbs%29
Physics and Applied Physics,School of Physical and Mathematical Sciences (SPMS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-physics-applied-physics
Philosophy,School of Humanities (SOH),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-in-philosophy
"Philosophy, Politics, and Economics",School of Social Sciences (SSS)+School of Humanities (SOH),主校区,4,TRUE,交叉学科（单学位）,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-science-in-philosophy-politics-and-economics
Psychology,School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-in-psychology-%28honours%29
Public Policy and Global Affairs,School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-in-public-policy-and-global-affairs-%28honours%29
Robotics,School of Mechanical and Aerospace Engineering (MAE),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-engineering-in-robotics
Sociology,School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-in-sociology-%28honours%29
Sport Science and Management,National Institute of Education (NIE),NIE Campus,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-sport-science-management
Biological Sciences and Psychology,School of Biological Sciences (SBS)+School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-biological-sciences-and-psychology
Biomedical Sciences and BioBusiness,School of Biological Sciences (SBS)+Nanyang Business School (NBS),主校区,4,TRUE,交叉学科（单学位）,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-science-in-biomedical-sciences-and-biobusiness
Chinese and English,School of Humanities (SOH),主校区,4,FALSE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-%28hons%29-in-double-major---chinese-and-english
Chinese and Linguistics and Multilingual Studies,School of Humanities (SOH),主校区,4,FALSE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-arts-%28hons%29-in-double-major---chinese-and-linguistics-and-multilingual-studies
Economics and Media Analytics,School of Social Sciences (SSS)+Wee Kim Wee School of Communication and Information (WKWSCI),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-%28hons%29-in-double-major---economics-and-media-analytics
Economics and Psychology,School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-%28hons%29-in-double-major---economics-and-psychology
Economics and Public Policy and Global Affairs,School of Social Sciences (SSS),主校区,4,TRUE,单学位,https://www.ntu.edu.sg/education/undergraduate-programme/bachelor-of-social-sciences-%28hons%29-in-double-major---economics-and-public-policy-global-affairs
