program,faculty,campus,duration,eng_taught,type,url
Anthropology,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Chinese Languages and Cultures,College of Humanities and Sciences,主校区,4,FALSE,单学位,https://fass.nus.edu.sg/cs/discoverchs/
Chinese Studies (Bilingual),College of Humanities and Sciences,主校区,4,TRUE,单学位,https://fass.nus.edu.sg/cs/discoverchs/
Chemistry,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Communications and New Media,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Data Science and Analytics,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Economics,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
English Language and Linguistics,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
English Literature,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Food Science and Technology,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://www.fst.nus.edu.sg/education/undergraduate-programme/course-structure/primary-major-in-fst/
Geography,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Global Studies,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
History,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Japanese Studies,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Life Sciences,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Malay Studies,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Mathematics,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Pharmaceutical Science,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://pharmacy.nus.edu.sg/study/undergraduate/bachelor-of-science-pharmaceutical-science/
Philosophy,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Physics,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Political Science,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Psychology,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Quantitative Finance,College of Humanities and Sciences,主校区,4,TRUE,交叉学科（单学位）,https://www.math.nus.edu.sg/ug/majmin/primajors/qf/
Social Work,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Sociology,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
South Asian Studies,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Southeast Asian Studies,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Statistics,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Theatre and Performance Studies,College of Humanities and Sciences,主校区,4,TRUE,单学位,https://chs.nus.edu.sg/programmes/
Data Science and Economics,College of Humanities and Sciences,主校区,4,TRUE,交叉学科（单学位）,https://chs.nus.edu.sg/programmes/dse/
Environmental Studies,College of Humanities and Sciences,主校区,4,TRUE,交叉学科（单学位）,https://chs.nus.edu.sg/programmes/bes/
Geospatial Intelligence,College of Humanities and Sciences,主校区,4,TRUE,交叉学科（单学位）,https://chs.nus.edu.sg/programmes/gi/
"Philosophy, Politics, and Economics",College of Humanities and Sciences,主校区,4,TRUE,交叉学科（单学位）,https://chs.nus.edu.sg/programmes/ppe/
