program,faculty,campus,duration,eng_taught,type,url
"(LDD) Chimie, Sciences de la vie",UFR Sciences,主校区+Campus Versailles,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/ldd-chimie-sciences-de-la-vie
"(LDD) Physique, Chimie",UFR Sciences,主校区,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/ldd-physique-chimie
Administration économique et sociale,UFR Droit Economie Management,Site Guyancourt+Site Evry,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/licence-undergraduate-programme/administration-economique-et-sociale
Chimie,IUT d'Orsay,主校区,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/university-technology-degree/chimie
Chimie,UFR Sciences,主校区,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/licence-undergraduate-programme/chimie
"Droit, Economie",UFR Droit Economie Management,Campus Sceaux,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/droit-economie
"Droit, Informatique",UFR Droit Economie Management+UFR Sciences,Campus Sceaux+主校区,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/droit-informatique
"Droit, Sciences et Innovation",UFR Droit Economie Management+UFR Sciences,Campus Sceaux+主校区,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/droit-sciences-et-innovation
Droit,UFR Droit Economie Management,Campus Sceaux+Site Evry,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/licence-undergraduate-programme/droit
Economie et gestion,UFR Droit Economie Management,Campus Sceaux+Site Evry,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/licence-undergraduate-programme/economie-et-gestion
"Economie, Mathématiques",UFR Droit Economie Management+UFR Sciences,Campus Sceaux+主校区,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/economie-mathematiques
Gestion des entreprises et des administrations,IUT Sceaux,Campus Sceaux,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/university-technology-degree/gestion-des-entreprises-et-des-administrations
Génie mécanique et productique,IUT Cachan,Campus Cachan,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/university-technology-degree/genie-mecanique-et-productique
Génie électrique et informatique industrielle,IUT Cachan,Campus Cachan,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/university-technology-degree/genie-electrique-et-informatique-industrielle
Histoire,UFR Sciences Sociales,Site Guyancourt,3,FALSE,单学位,https://www.universite-paris-saclay.fr/en/education/licence-undergraduate-programme/histoire
"Informatique, Mathématiques",UFR Sciences,主校区,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/informatique-mathematiques
"Informatique, Sciences de la vie",UFR Sciences,主校区,3,FALSE,双学位,https://www.universite-paris-saclay.fr/en/education/licence-double-diplome-undergraduate-double-degree/informatique-sciences-de-la-vie
