program,faculty,campus,duration,eng_taught,type,url
Bachelor of Commerce,University of Sydney Business School,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-commerce.html
Bachelor of Science,Faculty of Science,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-science.html
Bachelor of Arts,Faculty of Arts and Social Sciences,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-arts.html
Bachelor of Psychology,Faculty of Science,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-psychology.html
Bachelor of Architecture and Environments,"Sydney School of Architecture, Design and Planning",主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-architecture-and-environments.html
Bachelor of Nursing (Advanced Studies),Faculty of Medicine and Health,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-nursing-advanced-studies.html
Bachelor of Mathematical Sciences,Faculty of Science,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-mathematical-sciences.html
Bachelor of Oral Health,Faculty of Medicine and Health,主校区+Westmead Campus,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-oral-health.html
Bachelor of Science (Medical Science),Faculty of Science,主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-science-medical-science.html
Bachelor of Biomedicine and Health,Faculty of Medicine and Health,Westmead Campus,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-biomedicine-and-health.html
Bachelor of Media and Communications,Faculty of Arts and Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-media-and-communications.html
Bachelor of Animal and Veterinary Bioscience,Faculty of Science,主校区+Camden Campus (Veterinary Science),3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-animal-and-veterinary-bioscience.html
Bachelor of Languages,Faculty of Arts and Social Sciences,主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-languages.html
"Bachelor of International Studies",Faculty of Arts and Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-international-studies.html
"Bachelor of Politics, Philosophy, and Economics",Faculty of Arts and Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-politics-philosophy-and-economics.html
Bachelor of Design (Interaction Design),"Sydney School of Architecture, Design and Planning",主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-design-interaction-design.html
Bachelor of Applied Science (Exercise and Sport Science),Faculty of Medicine and Health,主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-applied-science-exercise-and-sport-science0.html
Bachelor of Visual Arts,"Sydney School of Architecture, Design and Planning",主校区,3,TRUE,单学位,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-visual-arts.html
Bachelor of Science (Health),Faculty of Science,主校区,3,TRUE,交叉学科（单学位）,https://www.sydney.edu.au/courses/courses/uc/bachelor-of-science-health.html
