program,faculty,campus,duration,eng_taught,type,url
Aerospace,TUM School of Engineering and Design,Garching+Ottobrunn,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/aerospace-bachelor-of-science-bsc
Agricultural and Horticultural Sciences,TUM School of Life Sciences,Weihenstephan (Freising),3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/agricultural-and-horticultural-sciences-bachelor-of-science-bsc
Architecture,TUM School of Engineering and Design,主校区,4,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/architecture-bachelor-of-arts-ba
Biochemistry,TUM School of Natural Sciences,Garching+Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/biochemistry-bachelor-of-science-bsc
Bioeconomics,TUM School of Life Sciences,Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/bioeconomics-bachelor-of-science-bsc
Bioeconomy,TUM School of Life Sciences,Straubing,3,TRUE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/bioeconomy-bachelor-of-science-bsc
Biogenic Materials,TUM School of Life Sciences,Straubing,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/biogenic-materials-bachelor-of-science-bsc
Bioinformatics,TUM School of Natural Sciences,主校区+Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/bioinformatics-bachelor-of-science-bsc
Brewing and Beverage Technology,TUM School of Life Sciences,Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/brewing-and-beverage-technology-bachelor-of-science-bsc
Chemical Biotechnology,TUM School of Life Sciences,Straubing,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/chemical-biotechnology-bachelor-of-science-bsc
Chemical Engineering,TUM Asia+Singapore Institute of Technology,Singapore,4+0,TRUE,联合培养,https://www.tum.de/en/studies/degree-programs/detail/chemical-engineering-bachelor-of-engineering-beng
Chemical Engineering,TUM School of Natural Sciences,Garching,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/chemical-engineering-bachelor-of-science-bsc
Chemistry,TUM School of Natural Sciences,Garching,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/chemistry-bachelor-of-science-bsc
Civil Engineering,TUM School of Engineering and Design,主校区,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/civil-engineering-bachelor-of-science-bsc
Electrical Engineering and Information Technology,"TUM School of Computation, Information and Technology",主校区,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/electrical-engineering-and-information-technology-bachelor-of-science-bsc
Electronics and Data Engineering,TUM Asia+Singapore Institute of Technology,Singapore,4+0,TRUE,联合培养,https://www.tum.de/en/studies/degree-programs/detail/electronics-and-data-engineering-bachelor-of-engineering-beng
Engineering and Materials Science,TUM School of Engineering and Design+Paris Lodron University of Salzburg,主校区+Salzburg,2+1,FALSE,联合培养,https://www.tum.de/en/studies/degree-programs/detail/engineering-and-materials-science-bachelor-of-science-bsc
Engineering Science,TUM School of Engineering and Design,Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/engineering-science-bachelor-of-science-bsc
Environmental Engineering,TUM School of Engineering and Design,主校区,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/environmental-engineering-bachelor-of-science-bsc
Food Chemistry,TUM School of Natural Sciences,Weihenstephan (Freising)+Garching,4,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/food-chemistry-bachelor-of-science-bsc
Food Technology,TUM School of Life Sciences,Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/food-technology-bachelor-of-science-bsc
Forest Science and Resource Management,TUM School of Life Sciences,Weihenstephan (Freising),3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/forest-science-and-resource-management-bachelor-of-science-bsc
Geodesy and Geoinformation,TUM School of Engineering and Design,主校区,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/geodesy-and-geoinformation-bachelor-of-science-bsc
Geosciences,TUM School of Engineering and Design,主校区,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/geosciences-bachelor-of-science-bsc
Health Sciences,TUM School of Medicine and Health,主校区,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/health-sciences-bachelor-of-science-bsc
Informatics,"TUM School of Computation, Information and Technology",Garching,3,FALSE,单学位,https://www.tum.de/en/studies/degree-programs/detail/informatics-bachelor-of-science-bsc
Informatics: Games Engineering,"TUM School of Computation, Information and Technology",Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/informatics-games-engineering-bachelor-of-science-bsc
Information Engineering,"TUM School of Computation, Information and Technology",Heilbronn,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/information-engineering-at-tum-campus-heilbronn-bachelor-of-science-bsc
Information Systems,"TUM School of Computation, Information and Technology",Garching,3,FALSE,交叉学科（单学位）,https://www.tum.de/en/studies/degree-programs/detail/information-systems-bachelor-of-science-bsc
