program,faculty,campus,duration,eng_taught,type,url
Bachelor of Science (Computer Science),Engineering,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-computer-science
Bachelor of Environmental Management,Science,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-environmental-management
Bachelor of Construction Management and Property,"Arts, Design & Architecture",主校区,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-construction-management-and-property
Bachelor of Vision Science,Medicine & Health,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-vision-science
Bachelor of Aviation (Management),Science,主校区,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-aviation-management
Bachelor of Actuarial Studies,UNSW Business School,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-actuarial-studies
Bachelor of Medical Science,Science,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-medical-science
Bachelor of Politics Philosophy and Economics,"Arts, Design & Architecture",主校区,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-politics-philosophy-and-economics
Bachelor of Criminology and Criminal Justice,Law & Justice,主校区,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-criminology-and-criminal-justice
Bachelor of Architectural Studies,"Arts, Design & Architecture",主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-architectural-studies
Bachelor of Economics,UNSW Business School,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-economics
Bachelor of Aviation (Remotely Piloted Aircraft Systems),Science,FOU - Bankstown Airport,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-aviation-remotely-piloted-aircraft-systems
Bachelor of Social Sciences,"Arts, Design & Architecture",主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-social-sciences
Bachelor of Psychological Science,Science,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-psychological-science
Bachelor of Information Systems,UNSW Business School,主校区,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-information-systems
Bachelor of Commerce,UNSW Business School,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-commerce
Bachelor of Data Science and Decisions,Science,主校区,3,TRUE,交叉学科（单学位）,https://www.unsw.edu.au/study/undergraduate/bachelor-of-data-science-and-decisions
Bachelor of Aviation (Flying),Science,FOU - Bankstown Airport,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-aviation-flying
Bachelor of Science,Science,主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-science
Bachelor of Media,"Arts, Design & Architecture",主校区,3,TRUE,单学位,https://www.unsw.edu.au/study/undergraduate/bachelor-of-media
