program,"faculty",campus,duration,eng_taught,type,url
Agribusiness,"Faculty of Science",主校区+Gatton,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-agribusiness-2007
Agricultural Science,"Faculty of Science",Gatton,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-agricultural-science-2448
Architectural Design,"Faculty of Engineering, Architecture and Information Technology",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-architectural-design-2550
Arts,"Faculty of Humanities, Arts and Social Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-arts-2000
Biomedical Science,"Faculty of Health, Medicine and Behavioural Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-biomedical-science-2546
Biotechnology,"Faculty of Science",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-biotechnology-2456
Business Management,"Faculty of Business, Economics and Law",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-business-management-2171
Commerce,"Faculty of Business, Economics and Law",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-commerce-2336
Communication,"Faculty of Humanities, Arts and Social Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-communication-2507
Computer Science,"Faculty of Engineering, Architecture and Information Technology",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-computer-science-2559
Criminology and Criminal Justice,"Faculty of Humanities, Arts and Social Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-criminology-and-criminal-justice-2519
Design,"Faculty of Engineering, Architecture and Information Technology",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-design-2551
Economics,"Faculty of Business, Economics and Law",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-economics-2467
Health Sciences,"Faculty of Health, Medicine and Behavioural Sciences",主校区+Herston,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-health-sciences-2252
Human Movement and Nutrition Sciences,"Faculty of Health, Medicine and Behavioural Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-human-movement-and-nutrition-sciences-2525
Information Technology,"Faculty of Engineering, Architecture and Information Technology",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-information-technology-2570
International Studies,"Faculty of Humanities, Arts and Social Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-international-studies-2316
Journalism,"Faculty of Humanities, Arts and Social Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-journalism-2508
Mathematics,"Faculty of Science",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-mathematics-2461
Midwifery,"Faculty of Health, Medicine and Behavioural Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-midwifery-2261
Music,"Faculty of Humanities, Arts and Social Sciences",主校区,3,TRUE,单学位,https://study.uq.edu.au/study-options/programs/bachelor-music-2535
