program,faculty,campus,duration,eng_taught,type,url
Actuarial Science,Faculty of Economics and Business,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/actuarial-science/actuarial-science.html
Ancient Studies,Faculty of Humanities,University Quarter,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/ancient-studies/ancient-studies.html
Arabische taal en cultuur,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/arabische-taal-en-cultuur/arabische-taal-en-cultuur.html
Archaeology,Faculty of Humanities,University Quarter,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/archaeology/archaeology.html
Artificial Intelligence,Faculty of Science,Science Park,3,FALSE,交叉学科（单学位）,https://www.uva.nl/programmas/bachelors/kunstmatige-intelligentie/kunstmatige-intelligentie.html
Biology,Faculty of Science,Science Park,3,FALSE,单学位,https://www.uva.nl/shared-content/programmas/en/bachelors/biology/biology.html
Biomedical Sciences,Faculty of Science,Science Park+Amsterdam UMC,3,FALSE,单学位,https://www.uva.nl/shared-content/programmas/en/bachelors/biomedical-sciences/biomedical-sciences.html
Business Administration,Faculty of Economics and Business,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/business-administration/business-administration.html
Business Analytics,Faculty of Economics and Business,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/business-analytics/business-analytics.html
Bèta-gamma (Natural and Social Sciences),Faculty of Science (Institute for Interdisciplinary Studies),Science Park+Roeterseiland,3,FALSE,交叉学科（单学位）,https://www.uva.nl/programmas/bachelors/beta-gamma/beta-gamma.html
Chemistry,Faculty of Science,Science Park,3,FALSE,单学位,https://www.uva.nl/shared-content/programmas/en/bachelors/chemistry/chemistry.html
"Cognition, Language and Communication",Faculty of Humanities,University Quarter,3,FALSE,交叉学科（单学位）,https://www.uva.nl/programmas/bachelors/cognition-language-and-communication/cognition-language-and-communication.html
Computational Social Science,Faculty of Social and Behavioural Sciences,Roeterseiland,3,TRUE,交叉学科（单学位）,https://www.uva.nl/en/programmes/bachelors/computational-social-science/computational-social-science.html
Computer Science,Faculty of Science,Science Park,3,FALSE,单学位,https://www.uva.nl/shared-content/programmas/en/bachelors/computer-science/computer-science.html
Cultural Anthropology and Development Sociology,Faculty of Social and Behavioural Sciences,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/cultural-anthropology-and-development-sociology/cultural-anthropology-and-development-sociology.html
Duitslandstudies,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/duitslandstudies/duitslandstudies.html
Econometrics and Data Science,Faculty of Economics and Business,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/econometrics-and-data-science/econometrics-and-data-science.html
Economics and Business Economics,Faculty of Economics and Business,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/economics-and-business-economics/economics-and-business-economics.html
English Language and Culture,Faculty of Humanities,University Quarter,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/english-language-and-culture/english-language-and-culture.html
European Studies,Faculty of Humanities,University Quarter,3,TRUE,交叉学科（单学位）,https://www.uva.nl/en/programmes/bachelors/european-studies/european-studies.html
Filosofie,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/filosofie/filosofie.html
Fiscaal Recht,Amsterdam Law School,Roeterseiland,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/fiscaal-recht/fiscaal-recht.html
Fiscale Economie,Faculty of Economics and Business,Roeterseiland,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/fiscale-economie/fiscale-economie.html
Franse taal en cultuur,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/franse-taal-en-cultuur/franse-taal-en-cultuur.html
Future Planet Studies,Faculty of Science (Institute for Interdisciplinary Studies),Science Park+Roeterseiland,3,FALSE,交叉学科（单学位）,https://www.uva.nl/programmas/bachelors/future-planet-studies/future-planet-studies.html
Geneeskunde,Faculty of Medicine,Amsterdam UMC - location AMC,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/geneeskunde/geneeskunde.html
Geschiedenis,Faculty of Humanities,University Quarter,3,FALSE,单学位,https://www.uva.nl/programmas/bachelors/geschiedenis/geschiedenis.html
"Global Arts, Culture and Politics",Faculty of Humanities,University Quarter,3,TRUE,交叉学科（单学位）,https://www.uva.nl/en/programmes/bachelors/global-arts-culture-and-politics/global-arts-culture-and-politics.html
Global Communication Science (Communication Science),Faculty of Social and Behavioural Sciences,Roeterseiland,3,TRUE,单学位,https://www.uva.nl/en/programmes/bachelors/communication-science/communication-science.html
