program,faculty,campus,duration,eng_taught,type,url
Social Work,School of Allied Health,主校区+Albany (Regional campus)+Online,4,TRUE,单学位,https://www.uwa.edu.au/study/courses/social-work
Pharmaceutical Health,School of Allied Health,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/pharmaceutical-health
Finance,UWA Business School,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/finance
Music Theatre,UWA Conservatorium of Music,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/music-theatre
Zoology,School of Biological Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/zoology
Statistics,"School of Physics, Mathematics and Computing",主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/statistics
Music and Society,UWA Conservatorium of Music,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/music-and-society
Social and Environmental Sustainability,School of Social Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/social-and-environmental-sustainability
Korean Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/korean-studies
Quantum Computing,"School of Physics, Mathematics and Computing",主校区,4,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/quantum-computing
Philosophy,School of Humanities,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/philosophy
Physiology,School of Human Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/physiology
Japanese Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/japanese
Cybersecurity,"School of Physics, Mathematics and Computing",主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/cybersecurity
Chemistry,School of Molecular Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/chemistry
Chinese Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/chinese
Physics,"School of Physics, Mathematics and Computing",主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/physics
Neuroscience,School of Human Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/neuroscience
Architecture,School of Design,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/architecture
Geology,School of Earth Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/geology
Archaeology,School of Social Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/archaeology
Botany,School of Biological Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/botany
Marketing,UWA Business School,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/marketing
History,School of Humanities,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/history
Spanish Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/spanish-studies
Mathematics,"School of Physics, Mathematics and Computing",主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/mathematics
Music General Studies,UWA Conservatorium of Music,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/music-general-studies
Contemporary Popular Music,UWA Conservatorium of Music,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/contemporary-popular-music
Gender Studies,School of Social Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/gender-studies
Italian Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/italian-studies
Business Analytics,UWA Business School,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/business-analytics
Human Genomics,School of Biomedical Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/human-genomics
Global Business,UWA Business School,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/global-business
Marine Biology,School of Biological Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/marine-biology
Accounting,UWA Business School,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/accounting
Geochemistry (Extended Major),School of Earth Sciences,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/geochemistry-extended-major
Economics,UWA Business School,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/economics-major
Music Studies,UWA Conservatorium of Music,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/music-studies
Agribusiness,UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/agribusiness
Management,UWA Business School,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/management
Genetics,School of Biomedical Sciences,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/genetics
Plant Biology (Extended Major),School of Biological Sciences,主校区,3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/plant-biology
Linguistics,School of Social Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/linguistics
Anthropology,School of Social Sciences,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/anthropology
Business Economics,UWA Business School,主校区+Albany (Regional campus),3,TRUE,单学位,https://www.uwa.edu.au/study/courses/business-economics
Financial Economics,UWA Business School,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/financial-economics
Indonesian Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/indonesian
German Studies,School of Humanities,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/german-studies
Law and Society,UWA Law School,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/law-and-society
Geographical Sciences,UWA School of Agriculture and Environment,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/geographical-sciences
Agricultural Technology,UWA School of Agriculture and Environment,主校区+Albany (Regional campus),3,TRUE,交叉学科（单学位）,https://www.uwa.edu.au/study/courses/agricultural-technology
Public Health,School of Population and Global Health,主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/public-health
Computer Science,"School of Physics, Mathematics and Computing",主校区,3,TRUE,单学位,https://www.uwa.edu.au/study/courses/computer-science
